"Player","Team","Pos","Fantasy Points Pts","Fantasy Points x-Pts","Fantasy Points +/-","Points Per Game PPG","Points Per Game x-PPG","Points Per Game +/-","#G","Receiving Rec","Receiving X-Rec","Receiving Yds","Receiving X-Yds","Receiving TD","Receiving X-TD","Rushing Yds","Rushing X-Yds","Rushing TD","Rushing X-TD"
"Ja'Marr Chase","CIN","WR","339.5","270.5","69","20","15.9","4.1","17","127","115.71","1708","1287.15","17","13.7568","32","13.2888","0","0.01"
"Amon-Ra St. Brown","DET","WR","256.4","216.3","40.099999999999966","15.1","12.7","2.4","17","115","94.71","1263","1062.29","12","10.2832","6","7.9674","0","0.04"
"Brock Bowers","LV","TE","206.7","200","6.699999999999989","12.2","11.8","0.4","17","112","106.36","1194","1091.27","5","5.8672","13","21.707","0","0.05"
"Trey McBride","ARZ","TE","188.3","204.9","-16.599999999999994","11.8","12.8","-1","16","111","99.94","1146","1011.82","2","8.488","2","1.6366","1","0.44"
"Malik Nabers","NYG","WR","217.1","233.7","-16.599999999999994","14.5","15.6","-1.1","15","109","109.69","1204","1304.25","7","7.5568","2","15.4154","0","0.25"
"Justin Jefferson","MIN","WR","265.1","238.9","26.200000000000017","15.6","14.1","1.5","17","103","94.39","1533","1246.12","10","11.1856","3","0","0","0"
"CeeDee Lamb","DAL","WR","212.9","204.9","8","14.2","13.7","0.5","15","101","99.39","1194","1099.49","6","6.4032","70","62.1026","0","0.1"
"Garrett Wilson","NYJ","WR","203.4","224.3","-20.900000000000006","12","13.2","-1.2","17","101","101.87","1104","1188.61","7","9.016","5","4.067","0","0"
"Jaxon Smith-Njigba","SEA","WR","201.6","191.4","10.199999999999989","11.9","11.3","0.6","17","100","90.69","1130","1033.5","6","6.7104","26","22.4322","0","0.04"
"Drake London","ATL","WR","230.8","225.5","5.300000000000011","13.6","13.3","0.3","17","100","92.39","1271","1201.06","9","9.8016","-3","4.0572","0","0"
"DJ Moore","CHI","WR","189.1","192.6","-3.5","11.1","11.3","-0.2","17","98","98.63","966","1014.36","6","6.1056","75","50.2054","0","0.03"
"Travis Kelce","KC","TE","148.9","202.3","-53.400000000000006","9.3","12.6","-3.3","16","97","95.27","823","1022.12","3","8.7456","1","0","0","0"
"Wan'Dale Robinson","NYG","WR","136.2","164.5","-28.30000000000001","8","9.7","-1.7","17","93","95.55","699","876.4","3","4.7808","18","4.067","0","0"
